Score,Episodes,Duration_format,Genre_format,Name_format,Source_format,cluster
9,26,24,0,0,0,0
8,1,115,1,1,0,0
8,26,24,0,2,1,0
7,26,25,1,3,0,0
7,52,23,2,4,1,0
8,145,23,0,5,1,0
8,24,23,0,6,1,0
8,24,27,1,7,1,0
9,74,24,3,8,1,0
8,220,23,0,9,1,0
9,50,24,0,10,1,0
8,178,22,0,11,1,0
8,26,23,0,12,1,0
7,24,24,0,13,1,0
8,22,23,1,14,0,0
8,69,24,0,15,1,0
8,26,24,1,16,1,0
8,26,24,1,17,0,0
7,1,104,4,18,0,0
9,1,87,4,19,0,0
8,25,25,1,20,1,0
8,1,82,1,21,1,0
9,4,30,1,22,1,0
8,94,25,0,23,1,0
8,1,91,3,24,1,0
8,1,124,1,25,1,0
7,26,24,2,26,0,0
7,5,30,0,27,1,0
7,24,24,0,28,1,0
6,3,30,1,29,1,0
7,26,24,0,30,1,0
7,24,23,0,31,1,0
7,1,105,1,32,1,0
7,26,22,1,33,26,0
6,13,24,2,34,0,0
8,26,25,0,35,1,0
7,26,23,4,36,0,0
7,26,24,0,37,1,0
8,24,23,1,38,1,0
7,26,23,0,39,1,0
7,26,24,3,40,2,0
7,12,23,0,41,1,0
7,12,24,0,42,1,0
8,12,24,0,43,1,0
8,26,24,0,44,1,0
8,24,24,1,45,1,0
7,23,24,0,46,1,0
6,25,24,1,47,0,0
8,24,24,0,48,2,0
8,12,24,0,49,2,0
8,13,24,1,50,2,0
8,26,25,0,51,1,0
7,25,24,1,52,0,0
7,13,25,0,53,0,0
8,13,25,0,54,0,0
7,24,23,0,55,2,0
8,43,25,1,56,0,0
8,12,25,4,57,0,0
8,6,27,4,58,0,0
7,1,52,4,59,0,0
7,13,30,4,60,0,0
8,50,24,4,61,0,0
7,47,24,0,62,0,0
8,1,119,4,63,2,0
7,1,2,4,64,1,0
7,51,24,4,65,0,0
8,49,24,1,66,0,0
8,3,30,1,67,0,0
7,39,24,4,68,0,0
8,50,24,1,69,0,0
7,50,24,1,70,0,0
8,50,24,1,71,0,0
8,49,24,0,72,0,0
8,26,24,1,73,0,0
7,26,23,0,74,0,0
7,26,24,0,75,0,0
7,13,23,0,76,1,0
7,12,24,3,77,2,0
7,26,25,0,78,1,0
7,74,24,0,79,1,0
7,24,21,0,80,1,0
7,13,24,0,81,1,0
7,3,30,0,82,1,0
7,24,23,0,83,0,0
7,52,25,0,84,0,0
5,8,14,0,85,0,0
7,26,23,1,86,0,0
8,26,12,0,87,1,0
7,13,25,0,88,0,0
7,26,23,0,89,0,0
7,7,34,0,90,0,0
7,4,30,0,91,0,0
7,13,14,0,92,2,0
8,26,24,0,93,1,0
8,51,24,0,94,1,0
8,52,24,0,95,1,0
8,52,23,0,96,1,0
6,13,24,0,97,0,0
7,13,24,0,98,0,0
7,24,25,0,99,26,0
8,50,23,0,100,1,0
8,49,24,0,101,1,0
6,12,24,0,102,2,0
7,13,24,1,103,1,0
8,75,23,0,104,1,0
8,62,23,1,105,1,0
6,12,23,4,106,1,0
7,12,24,3,107,1,0
7,13,24,3,108,2,0
8,26,24,0,109,1,0
7,12,24,0,110,0,0
7,14,23,3,111,2,0
7,12,24,1,112,1,0
8,50,24,1,113,0,0
7,3,46,0,114,1,0
7,24,23,1,115,0,0
8,45,25,1,116,2,0
8,64,23,0,117,1,0
7,1,97,1,118,1,0
7,24,24,1,119,1,0
7,26,23,0,120,1,0
7,13,24,3,121,2,0
6,24,23,2,122,1,0
8,13,25,2,123,0,0
7,24,24,0,124,1,0
7,26,24,0,125,1,0
6,26,20,0,126,26,0
9,1,135,1,127,0,0
7,26,23,1,128,0,0
7,26,26,4,129,1,0
7,24,23,0,130,2,0
7,26,24,1,131,0,0
7,12,24,1,132,2,0
9,101,23,0,133,1,0
7,25,24,0,134,1,0
7,24,23,0,135,1,0
7,26,25,1,136,1,0
6,4,28,5,137,2,0
8,26,25,1,138,1,0
7,26,24,0,139,1,0
7,13,22,1,140,0,0
7,13,22,1,141,0,0
8,26,24,2,142,0,0
7,39,24,6,143,1,0
6,12,23,1,144,26,0
8,26,25,1,145,1,0
8,13,23,1,146,1,0
8,1,105,1,147,1,0
7,24,23,0,148,1,0
7,3,30,0,149,1,0
7,1,46,0,150,1,0
7,1,46,0,151,1,0
7,24,24,0,152,2,0
8,5,30,4,153,0,0
7,12,23,0,154,0,0
7,12,25,0,155,0,0
7,24,15,0,156,1,0
7,24,23,1,157,0,0
9,1,125,3,158,0,0
7,6,29,0,159,1,0
8,26,23,1,160,0,0
7,5,30,2,161,2,0
8,26,24,0,162,0,0
7,27,24,1,163,2,0
7,13,25,1,164,2,0
8,3,33,1,165,2,0
8,26,25,0,166,2,0
8,161,24,0,167,1,0
7,1,84,0,168,0,0
6,1,48,0,169,2,0
8,26,23,0,170,0,0
7,1,79,0,171,0,0
7,2,30,0,172,0,0
7,13,25,0,173,0,0
8,153,24,0,174,1,0
6,64,23,0,175,1,0
8,13,25,1,176,1,0
8,6,25,0,177,0,0
8,26,25,7,178,0,0
7,12,24,0,179,1,0
7,27,24,0,180,1,0
6,26,12,0,181,1,0
8,70,25,0,182,1,0
7,26,24,5,183,1,0
8,50,25,0,184,1,0
7,26,23,0,185,1,0
8,50,24,4,186,0,0
7,42,23,1,187,1,0
8,24,24,4,188,2,0
8,12,25,0,189,1,0
6,11,23,0,190,1,0
7,13,23,0,191,1,0
7,13,22,0,192,1,0
9,43,25,0,193,1,0
7,51,24,0,194,1,0
7,12,23,0,195,1,0
8,167,24,0,196,1,0
8,150,23,0,197,1,0
8,78,25,0,198,2,0
7,26,24,3,199,0,0
8,26,23,0,200,1,0
8,6,26,0,201,1,0
8,7,26,0,202,1,0
6,13,24,8,203,1,0
6,4,30,3,204,1,0
7,5,30,0,205,1,0
7,13,23,0,206,1,0
7,13,24,0,207,1,0
7,3,30,0,208,1,0
9,75,23,0,209,1,0
7,12,23,4,210,26,0
8,26,25,1,211,26,0
8,6,29,0,212,1,0
8,366,24,0,213,1,0
8,13,23,1,214,1,0
7,26,25,4,215,0,0
7,26,24,1,216,0,0
7,12,24,3,217,1,0
7,24,23,1,218,0,0
6,9,15,0,219,0,0
7,12,24,0,220,1,0
7,14,24,0,221,1,0
7,51,20,0,222,26,0
7,13,24,2,223,2,0
7,51,23,0,224,1,0
6,3,27,0,225,2,0
7,50,23,1,226,1,0
7,12,25,1,227,1,0
7,25,22,4,228,1,0
7,24,25,1,229,1,0
7,51,23,0,230,1,0
7,13,24,0,231,2,0
8,13,26,1,232,2,0
7,26,24,3,233,1,0
7,16,4,0,234,0,0
6,13,24,0,235,0,0
6,13,24,4,236,0,0
7,38,25,0,237,1,0
7,12,25,0,238,1,0
7,12,23,0,239,1,0
7,4,33,4,240,0,0
7,4,30,1,241,1,0
7,48,7,0,242,1,0
8,1,106,0,243,0,0
5,4,18,0,244,1,0
7,13,24,0,245,0,0
7,26,25,2,246,0,0
6,13,24,0,247,0,0
7,26,24,3,248,1,0
7,13,24,3,249,1,0
6,1,84,1,250,1,0
6,3,24,0,251,1,0
7,10,23,0,252,0,0
6,3,30,0,253,1,0
7,2,26,1,254,0,0
6,12,23,0,255,0,0
8,12,24,0,256,1,0
8,13,24,3,257,0,0
8,47,25,0,258,0,0
7,25,24,3,259,1,0
7,4,22,7,260,1,0
6,10,24,3,261,0,0
8,26,25,4,262,1,0
7,13,24,0,263,1,0
8,45,23,0,264,1,0
7,38,23,0,265,1,0
7,76,24,0,266,1,0
7,26,24,0,267,1,0
6,13,24,2,268,2,0
6,24,11,0,269,1,0
8,40,24,3,270,1,0
8,13,23,4,271,0,0
8,26,23,1,272,1,0
7,25,23,3,273,1,0
7,13,24,4,274,2,0
7,20,25,4,275,1,0
8,12,25,3,276,1,0
7,22,24,1,277,26,0
6,13,13,0,278,0,0
7,51,24,0,279,0,0
7,49,24,0,280,0,0
7,50,24,0,281,0,0
8,51,24,0,282,0,0
6,12,14,0,283,0,0
