Score,Episodes,Duration_format,Genre_format,Name_format,Type_format,Source_format,cluster
7,24,23,0,30,0,1,2
6,13,24,10,33,0,0,2
8,26,25,0,34,0,1,2
7,26,23,13,35,0,0,2
7,26,24,0,36,0,1,2
8,24,23,18,37,0,1,2
7,26,23,0,38,0,1,2
7,26,24,8,39,0,3,2
7,12,23,0,40,0,1,2
7,12,24,0,41,0,1,2
8,12,24,0,42,0,1,2
8,26,24,0,43,0,1,2
8,24,24,18,44,0,1,2
7,23,24,0,45,0,1,2
6,25,24,18,46,0,0,2
8,24,24,0,47,0,3,2
8,12,24,0,48,0,3,2
8,13,24,18,49,0,3,2
8,26,25,0,50,0,1,2
7,25,24,18,51,0,0,2
7,13,25,0,52,0,0,2
8,13,25,0,53,0,0,2
7,24,23,0,54,0,3,2
8,43,25,18,55,0,0,2
8,12,25,13,56,2,0,2
8,6,27,13,57,2,0,2
7,1,52,13,58,1,0,2
7,13,30,13,59,2,0,2
8,50,24,13,60,0,0,2
7,47,24,0,61,0,0,2
7,51,24,13,64,0,0,2
8,49,24,18,65,0,0,2
8,3,30,18,66,2,0,2
7,39,24,13,67,0,0,2
8,50,24,18,68,0,0,2
7,50,24,18,69,0,0,2
8,50,24,18,70,0,0,2
8,49,24,0,71,0,0,2
8,26,24,18,72,0,0,2
7,26,23,0,73,0,0,2
7,26,24,0,74,0,0,2
7,13,23,0,75,0,1,2
7,12,24,8,76,0,3,2
7,26,25,0,77,0,1,2
7,74,24,0,78,0,1,2
7,24,21,0,79,0,1,2
7,13,24,0,80,0,1,2
7,3,30,0,81,2,1,2
7,24,23,0,82,0,0,2
7,52,25,0,83,0,0,2
7,26,23,18,85,0,0,2
8,26,12,0,86,0,1,2
7,13,25,0,87,0,0,2
7,26,23,0,88,0,0,2
7,7,34,0,89,2,0,2
7,4,30,0,90,2,0,2
8,26,24,0,92,0,1,2
8,51,24,0,93,0,1,2
8,52,24,0,94,0,1,2
8,52,23,0,95,0,1,2
6,13,24,0,96,0,0,2
7,13,24,0,97,0,0,2
7,24,25,0,98,0,2,2
8,50,23,0,99,0,1,2
8,49,24,0,100,0,1,2
6,12,24,0,101,0,3,2
7,13,24,18,102,0,1,2
8,75,23,0,103,0,1,2
8,62,23,18,104,0,1,2
6,12,23,13,105,0,1,2
7,12,24,8,106,0,1,2
7,13,24,8,107,0,3,2
8,26,24,0,108,0,1,2
7,14,23,8,110,0,3,2
7,12,24,18,111,0,1,2
8,50,24,18,112,0,0,2
7,3,46,0,113,2,1,2
7,24,23,18,114,0,0,2
8,45,25,18,115,0,3,2
8,64,23,0,116,0,1,2
7,1,97,18,117,1,1,2
7,24,24,18,118,0,1,2
7,26,23,0,119,0,1,2
6,24,23,10,121,0,1,2
7,24,24,0,123,0,1,2
7,26,24,0,124,0,1,2
6,26,20,0,125,0,2,2
9,1,135,18,126,1,0,2
7,26,23,18,127,0,0,2
7,26,26,13,128,0,1,2
7,24,23,0,129,0,3,2
7,26,24,18,130,0,0,2
9,101,23,0,132,0,1,2
7,25,24,0,133,0,1,2
7,24,23,0,134,0,1,2
7,26,25,18,135,0,1,2
8,26,25,18,137,0,1,2
7,26,24,0,138,0,1,2
8,26,24,10,141,0,0,2
7,39,24,17,142,0,1,2
8,26,25,18,144,0,1,2
8,1,105,18,146,1,1,2
9,1,125,8,157,1,0,2
8,26,23,18,159,0,0,2
7,27,24,18,162,0,3,2
8,161,24,0,166,0,1,2
7,1,84,0,167,1,0,2
7,1,79,0,170,1,0,2
8,153,24,0,173,0,1,2
6,64,23,0,174,0,1,2
8,70,25,0,181,0,1,2
8,50,24,13,184,0,0,2
7,42,23,18,185,0,1,2
9,43,25,0,191,0,1,2
7,51,24,0,192,0,1,2
8,167,24,0,194,0,1,2
8,150,23,0,195,0,1,2
8,78,25,0,196,0,3,2
9,75,23,0,207,0,1,2
8,366,24,0,211,0,1,2
7,51,20,0,220,0,2,2
7,51,23,0,222,0,1,2
7,50,23,18,224,0,1,2
7,51,23,0,228,0,1,2
8,1,106,0,241,1,0,2
7,76,24,0,264,0,1,2
8,112,24,0,314,0,1,2
7,224,23,19,381,0,1,2
7,180,23,0,382,0,1,2
7,296,25,0,399,0,1,2
8,358,23,0,406,0,1,2
7,276,24,0,415,0,2,2
8,291,24,0,577,0,1,2
9,201,24,0,643,0,1,2
8,500,23,0,1116,0,1,2
8,1787,11,0,1474,0,1,2
6,1818,5,0,3088,0,0,2
