Score,Episodes,Duration_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
8.78,26,24,0,0,206,0,0,0
8.39,1,115,1,0,0,1,1,0
8.24,26,24,0,1,182,2,0,1
7.27,26,25,1,2,206,3,0,0
6.98,52,23,2,2,295,4,0,1
7.95,145,23,0,2,127,5,0,1
8.06,24,23,0,3,1,6,0,1
8.15,24,27,1,4,2,7,0,1
8.76,74,24,3,5,182,8,0,1
7.91,220,23,0,6,3,9,0,1
7.9,178,22,0,7,258,10,0,1
7.94,26,23,0,2,123,11,0,1
7.42,24,24,0,8,4,12,0,1
7.76,22,23,1,3,182,13,0,0
7.95,69,24,0,6,206,14,0,1
7.51,26,24,1,9,5,15,0,1
8.32,26,24,1,2,171,16,0,0
7.45,1,104,3,10,15,17,1,0
8.51,1,87,3,2,15,18,1,0
8.49,25,25,1,5,6,19,0,1
8.29,1,82,1,0,15,20,1,1
8.73,4,30,1,6,5,21,2,1
8.31,94,25,0,6,5,22,0,1
7.56,1,91,3,3,127,23,1,1
8.17,1,124,1,11,56,24,1,1
6.98,26,24,2,0,147,25,0,0
7.32,5,30,0,0,63,26,2,1
7.35,24,24,0,0,63,27,0,1
6.31,3,30,1,12,73,28,2,1
7.26,26,24,0,13,0,29,0,1
7.14,24,23,0,10,1,30,0,1
7.1,1,105,1,14,7,31,1,1
6.53,26,22,1,6,147,32,0,28
5.91,13,24,2,15,8,33,0,0
8.31,26,25,0,11,182,34,0,1
7.05,26,23,3,16,63,35,0,0
7.43,26,24,0,9,182,36,0,1
7.66,24,23,1,12,4,37,0,1
7.2,26,23,0,17,8,38,0,1
6.77,26,24,3,12,9,39,0,2
6.62,12,23,0,12,10,40,0,1
7.44,12,24,0,8,11,41,0,1
7.65,12,24,0,9,11,42,0,1
7.98,26,24,0,12,1,43,0,3
7.58,24,24,1,11,4,44,0,1
7.38,23,24,0,18,4,45,0,1
6.35,25,24,1,0,206,46,0,0
7.65,24,24,0,17,4,47,0,4
8.07,12,24,0,19,79,48,0,4
7.96,13,24,1,17,79,49,0,4
7.65,26,25,0,6,51,50,0,1
7.3,25,24,1,13,8,51,0,0
7.42,13,25,0,20,12,52,0,0
7.99,13,25,0,20,12,53,0,0
7.09,24,23,0,12,13,54,0,2
7.78,43,25,1,21,206,55,0,0
8.03,12,25,3,22,206,56,2,0
7.9,6,27,3,0,206,57,2,0
6.79,1,52,3,21,206,58,1,0
7.3,13,30,3,0,206,59,2,0
7.92,50,24,3,21,206,60,0,0
6.66,47,24,0,21,206,61,0,0
7.68,1,119,3,21,206,62,1,5
