Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
9,26,R - 17+ (violence & profanity),24,0,0,0,216,0,0,0
8,1,R - 17+ (violence & profanity),115,0,1,0,0,1,1,0
8,26,PG-13 - Teens 13 or older,24,1,0,1,191,2,0,1
7,26,PG-13 - Teens 13 or older,25,1,1,2,216,3,0,0
7,52,PG - Children,23,1,2,2,321,4,0,1
8,145,PG-13 - Teens 13 or older,23,1,0,2,131,5,0,1
8,24,PG-13 - Teens 13 or older,23,1,0,3,1,6,0,1
8,24,PG-13 - Teens 13 or older,27,1,1,4,2,7,0,1
9,74,R+ - Mild Nudity,24,2,3,5,191,8,0,1
8,220,PG-13 - Teens 13 or older,23,1,0,6,3,9,0,1
9,50,PG-13 - Teens 13 or older,24,1,0,3,321,10,0,1
8,178,PG-13 - Teens 13 or older,22,1,0,7,220,11,0,1
8,26,PG-13 - Teens 13 or older,23,1,0,2,127,12,0,1
7,24,R - 17+ (violence & profanity),24,0,0,8,4,13,0,1
8,22,R+ - Mild Nudity,23,2,1,3,191,14,0,0
8,69,PG-13 - Teens 13 or older,24,1,0,6,216,15,0,1
8,26,PG-13 - Teens 13 or older,24,1,1,9,5,16,0,1
8,26,PG-13 - Teens 13 or older,24,1,1,2,179,17,0,0
7,1,R - 17+ (violence & profanity),104,0,4,10,15,18,1,0
9,1,R+ - Mild Nudity,87,2,4,2,15,19,1,0
8,25,R+ - Mild Nudity,25,2,1,5,306,20,0,1
8,1,R+ - Mild Nudity,82,2,1,0,15,21,1,1
9,4,R - 17+ (violence & profanity),30,0,1,6,5,22,2,1
8,94,PG-13 - Teens 13 or older,25,1,0,6,5,23,0,1
8,1,R - 17+ (violence & profanity),91,0,3,3,131,24,1,1
8,1,R+ - Mild Nudity,124,2,1,11,55,25,1,1
7,26,PG-13 - Teens 13 or older,24,1,2,0,151,26,0,0
7,5,PG-13 - Teens 13 or older,30,1,0,0,64,27,2,1
7,24,PG-13 - Teens 13 or older,24,1,0,0,64,28,0,1
6,3,R+ - Mild Nudity,30,2,1,12,74,29,2,1
7,26,PG-13 - Teens 13 or older,24,1,0,13,0,30,0,1
7,24,PG-13 - Teens 13 or older,23,1,0,10,1,31,0,1
7,1,R - 17+ (violence & profanity),105,0,1,14,6,32,1,1
7,26,R - 17+ (violence & profanity),22,0,1,6,151,33,0,26
6,13,R - 17+ (violence & profanity),24,0,2,15,7,34,0,0
8,26,R - 17+ (violence & profanity),25,0,0,11,191,35,0,1
7,26,R+ - Mild Nudity,23,2,4,16,64,36,0,0
7,26,PG-13 - Teens 13 or older,24,1,0,9,191,37,0,1
8,24,R - 17+ (violence & profanity),23,0,1,12,4,38,0,1
7,26,PG-13 - Teens 13 or older,23,1,0,17,7,39,0,1
7,26,PG-13 - Teens 13 or older,24,1,3,12,8,40,0,2
7,12,R+ - Mild Nudity,23,2,0,12,9,41,0,1
7,12,PG-13 - Teens 13 or older,24,1,0,8,10,42,0,1
8,12,PG-13 - Teens 13 or older,24,1,0,9,10,43,0,1
8,26,PG-13 - Teens 13 or older,24,1,0,12,1,44,0,1
8,24,R - 17+ (violence & profanity),24,0,1,11,4,45,0,1
7,23,PG-13 - Teens 13 or older,24,1,0,18,4,46,0,1
6,25,PG-13 - Teens 13 or older,24,1,1,0,216,47,0,0
8,24,R - 17+ (violence & profanity),24,0,0,17,4,48,0,2
8,12,PG-13 - Teens 13 or older,24,1,0,3,80,49,0,2
8,13,R - 17+ (violence & profanity),24,0,1,17,80,50,0,2
8,26,G - All Ages,25,3,0,6,50,51,0,1
7,25,PG-13 - Teens 13 or older,24,1,1,13,7,52,0,0
7,13,PG-13 - Teens 13 or older,25,1,0,19,11,53,0,0
8,13,PG-13 - Teens 13 or older,25,1,0,19,11,54,0,0
7,24,R+ - Mild Nudity,23,2,0,12,12,55,0,2
8,43,PG-13 - Teens 13 or older,25,1,1,20,216,56,0,0
8,12,PG-13 - Teens 13 or older,25,1,4,21,216,57,2,0
8,6,PG-13 - Teens 13 or older,27,1,4,0,216,58,2,0
7,1,PG-13 - Teens 13 or older,52,1,4,20,216,59,1,0
7,13,PG-13 - Teens 13 or older,30,1,4,0,216,60,2,0
8,50,PG-13 - Teens 13 or older,24,1,4,20,216,61,0,0
7,47,PG-13 - Teens 13 or older,24,1,0,20,216,62,0,0
8,1,PG-13 - Teens 13 or older,119,1,4,20,216,63,1,2
7,1,PG-13 - Teens 13 or older,2,1,4,20,216,64,1,1
7,51,PG-13 - Teens 13 or older,24,1,4,20,216,65,0,0
8,49,PG-13 - Teens 13 or older,24,1,1,22,216,66,0,0
8,3,PG-13 - Teens 13 or older,30,1,1,0,216,67,2,0
7,39,PG-13 - Teens 13 or older,24,1,4,20,216,68,0,0
8,50,R - 17+ (violence & profanity),24,0,1,20,216,69,0,0
