Score,Episodes,Duration_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
6.15,12,24,18,0,93,0,0,0
6.45,51,8,18,1,0,1,1,0
6.79,12,23,18,2,198,2,0,1
6.83,1,131,18,3,202,3,2,2
7.52,1,104,18,4,1,4,2,2
6.64,26,24,18,5,2,5,0,2
7.29,1,105,18,4,1,6,2,2
7.31,1,2,18,4,1,7,2,2
6.36,1,67,18,6,3,8,3,2
6.12,12,28,18,6,4,9,3,1
6.6,2,57,18,3,202,10,3,1
6.69,1,119,18,7,202,11,2,3
6.87,25,23,18,6,482,12,0,2
6.6,31,24,18,8,93,13,0,0
8.31,3,30,18,9,93,14,3,2
7.27,25,23,18,10,5,15,0,1
7.31,12,23,18,11,6,16,0,0
6.82,1,24,18,4,7,17,4,2
6.33,51,24,18,12,270,18,0,3
5.48,1,71,18,13,164,19,3,1
6.6,26,23,18,12,140,20,0,1
6.34,3,31,18,11,8,21,3,2
8.1,1,23,18,7,93,22,4,2
7.46,26,25,18,14,9,23,0,2
6.65,12,24,18,15,304,24,0,1
6.34,1,56,18,16,202,25,3,2
6.62,12,23,18,11,10,26,0,1
7.13,1,56,18,17,11,27,3,2
5.0,52,25,18,12,202,28,0,2
5.09,2,28,18,6,270,29,3,2
7.29,2,23,18,18,12,30,3,1
7.59,2,24,18,19,13,31,3,2
6.91,10,23,18,20,14,32,0,1
6.8,1,23,18,20,14,33,3,1
6.9,43,24,18,21,399,34,0,0
6.12,12,24,18,22,15,35,0,3
5.0,26,12,18,12,16,36,0,2
6.65,25,25,18,21,17,37,0,3
7.61,24,24,18,23,18,38,0,1
6.68,51,25,18,12,396,39,0,2
5.47,2,35,18,8,482,40,3,2
5.66,2,27,18,24,157,41,3,0
5.82,1,56,18,16,202,42,3,2
5.83,5,29,18,7,41,43,3,2
6.31,25,25,18,25,482,44,0,2
7.63,13,24,18,26,2,45,0,3
5.23,1,75,18,27,19,46,2,3
6.55,1,5,18,7,93,47,4,2
8.07,1,100,18,10,20,48,2,3
5.88,3,37,18,28,18,49,3,2
6.19,2,29,18,29,15,50,3,2
7.16,1,59,18,7,202,51,2,3
7.11,193,26,18,30,355,52,0,2
6.94,1,110,18,31,21,53,2,3
5.0,25,24,18,32,270,54,0,2
7.47,24,24,18,33,22,55,0,0
6.86,26,24,18,22,23,56,0,2
7.53,12,23,18,34,12,57,0,1
5.73,1,58,18,16,202,58,3,2
6.97,1,94,18,11,202,59,1,3
6.89,11,23,18,21,2,60,0,2
8.28,79,25,18,35,355,61,0,2
7.24,13,23,18,36,310,62,0,2
5.65,26,25,18,12,57,63,0,3
7.77,12,23,18,10,13,64,0,1
7.13,1,24,18,19,13,65,4,0
5.47,12,24,18,37,18,66,0,0
7.23,51,24,18,38,4,67,0,3
5.71,1,45,18,39,32,68,3,2
7.08,26,25,18,36,90,69,0,3
6.34,3,28,18,40,462,70,3,3
7.84,7,49,18,7,371,71,3,2
6.48,1,6,18,7,202,72,3,2
7.12,4,24,18,19,13,73,0,2
7.91,13,24,18,19,24,74,0,2
7.28,4,90,18,26,202,75,4,3
6.26,1,54,18,18,25,76,2,2
5.82,6,30,18,41,32,77,3,3
6.07,3,33,18,42,32,78,3,2
8.61,1,64,18,19,26,79,2,1
8.82,1,83,18,19,26,80,2,1
7.02,49,24,18,43,36,81,0,2
7.73,13,23,18,10,482,82,0,1
7.65,1,119,18,19,13,83,2,3
7.81,1,94,18,7,202,84,2,3
6.46,1,25,18,19,27,85,1,2
7.49,13,24,18,10,1,86,0,2
8.31,1,103,18,7,7,87,2,3
6.19,1,73,18,13,164,88,2,2
6.2,1,5,18,7,93,89,4,2
7.64,1,50,18,19,6,90,2,1
5.14,1,47,18,44,71,91,3,2
7.73,52,25,18,12,202,92,0,3
8.14,25,24,18,2,202,93,0,3
6.55,1,24,18,9,198,94,4,2
6.71,13,24,18,11,7,95,0,3
8.02,1,105,18,19,13,96,2,0
7.22,12,24,18,11,28,97,0,2
6.67,26,24,18,12,90,98,0,0
6.35,12,24,18,31,310,99,0,0
8.02,25,24,18,2,202,100,0,3
6.7,54,24,18,2,202,101,0,3
6.6,26,24,18,12,25,102,0,3
6.37,12,24,18,12,14,103,0,1
7.19,38,23,18,45,202,104,0,2
5.41,1,30,18,46,29,105,3,1
4.42,6,15,18,47,30,106,1,3
6.73,13,24,18,48,198,107,0,2
7.7,12,25,18,27,93,108,0,1
5.53,3,27,18,24,18,109,3,4
7.71,31,24,18,35,36,110,0,2
8.1,1,160,18,7,93,111,4,2
8.02,1,161,18,7,93,112,4,2
5.69,1,6,18,49,31,113,4,0
7.3,12,24,18,19,14,114,0,3
5.86,12,23,18,11,32,115,0,3
5.36,6,23,18,50,33,116,0,0
6.51,1,23,18,0,2,117,3,2
8.91,25,24,18,7,202,118,0,3
7.49,12,23,18,48,34,119,0,2
6.91,47,24,18,51,202,120,0,3
6.34,10,23,18,0,2,121,0,2
6.74,1,42,18,4,5,122,4,2
7.48,1,100,18,7,93,123,2,2
6.32,4,45,18,29,164,124,3,2
7.05,1,97,18,52,35,125,2,0
6.37,50,25,18,53,25,126,0,2
6.7,49,24,18,35,36,127,0,2
7.3,13,23,18,11,6,128,0,0
6.94,24,23,18,54,17,129,0,3
5.88,2,30,18,21,18,130,3,2
6.98,12,23,18,19,13,131,0,3
6.54,3,23,18,2,37,132,0,2
8.15,24,26,18,55,38,133,3,1
6.58,26,23,18,19,13,134,0,3
7.13,26,22,18,6,93,135,0,3
5.84,12,22,18,56,93,136,1,2
6.13,26,24,18,31,39,137,0,3
6.92,13,23,18,2,27,138,0,2
7.05,2,23,18,21,2,139,4,2
6.52,48,24,18,12,90,140,0,0
7.32,6,45,18,2,2,141,0,3
8.1,1,51,18,19,6,142,4,1
7.29,24,23,18,18,18,143,0,1
6.87,48,24,18,51,202,144,0,3
6.0,1,48,18,57,164,145,3,2
5.28,1,45,18,57,164,146,3,2
6.61,2,25,18,58,15,147,3,2
7.0,12,24,18,10,17,148,0,3
8.08,28,26,18,59,38,149,3,1
5.34,1,36,18,60,40,150,3,2
6.51,12,24,18,34,32,151,0,1
6.99,24,24,18,2,9,152,0,2
6.95,24,23,18,61,17,153,0,2
6.32,1,82,18,52,482,154,2,2
6.18,52,24,18,12,11,155,0,3
8.26,1,2,18,19,6,156,2,1
6.1,1,24,18,62,41,157,1,2
5.57,1,59,18,55,32,158,3,2
5.25,2,26,18,18,18,159,3,2
8.01,12,24,18,19,42,160,0,1
7.71,1,90,18,63,43,161,2,2
5.43,1,27,18,64,87,162,3,3
7.2,26,24,18,65,5,163,0,1
7.41,25,23,18,16,202,164,0,3
8.45,12,24,18,66,34,165,0,2
8.38,2,27,18,29,34,166,3,1
6.79,51,25,18,17,112,167,0,2
6.94,2,30,18,67,8,168,3,2
7.92,25,24,18,7,41,169,0,3
6.6,12,24,18,18,34,170,0,3
6.74,12,25,18,19,13,171,0,2
8.45,24,23,18,10,44,172,0,2
5.57,2,46,18,68,15,173,3,3
5.96,2,55,18,29,482,174,3,2
8.1,12,24,18,19,42,175,0,1
6.53,48,24,18,51,202,176,0,3
6.34,1,58,18,11,15,177,3,3
6.42,51,23,18,69,25,178,0,0
6.31,26,23,18,70,202,179,0,2
6.68,53,23,18,11,202,180,0,2
6.66,12,24,18,7,310,181,0,0
7.21,1,26,18,19,377,182,2,3
6.57,58,23,18,12,26,183,0,2
6.05,1,2,18,71,45,184,3,2
6.25,12,23,18,62,46,185,0,2
7.74,12,23,18,10,13,186,0,1
7.64,12,23,18,48,34,187,0,2
7.14,52,24,18,38,103,188,0,2
6.39,35,24,18,72,25,189,0,2
6.09,12,23,18,19,13,190,0,0
7.12,1,64,18,73,90,191,3,2
8.12,1,90,18,55,164,192,2,1
6.28,1,59,18,74,164,193,2,1
6.66,1,48,18,19,13,194,4,3
6.51,1,24,18,19,47,195,4,2
7.35,13,24,18,17,11,196,3,3
7.36,1,104,18,75,35,197,2,2
7.96,13,24,18,34,482,198,0,1
6.38,1,98,18,76,48,199,2,1
6.22,1,23,18,35,49,200,4,3
5.66,12,24,18,2,12,201,0,0
8.67,47,24,18,77,36,202,0,2
5.81,1,38,18,11,50,203,3,2
6.63,52,23,18,35,355,204,0,2
7.31,3,95,18,78,202,205,4,3
6.07,1,95,18,20,482,206,2,1
7.26,12,22,18,19,34,207,0,3
6.28,37,23,18,12,202,208,0,3
6.56,1,24,18,19,13,209,4,1
7.07,12,24,18,48,4,210,0,2
7.63,13,24,18,26,51,211,0,3
7.27,26,23,18,7,41,212,0,3
6.63,15,7,18,2,202,213,3,3
7.14,1,93,18,7,363,214,2,0
5.0,50,25,18,43,112,215,0,3
7.39,35,8,18,79,52,216,1,3
7.16,13,25,18,80,38,217,0,2
7.06,13,24,18,7,112,218,1,2
7.71,25,24,18,66,198,219,0,2
8.33,13,23,18,19,6,220,0,1
7.13,1,90,18,20,17,221,2,3
6.57,12,24,18,12,53,222,0,0
6.03,1,47,18,48,18,223,3,3
6.61,1,2,18,81,26,224,4,0
5.8,1,81,18,59,164,225,2,1
7.35,12,24,18,29,54,226,0,1
5.89,23,24,18,82,22,227,0,3
7.61,1,78,18,82,22,228,2,3
6.36,12,23,18,34,431,229,0,1
6.42,3,47,18,83,25,230,3,2
6.11,1,111,18,84,25,231,2,2
5.78,1,47,18,85,482,232,3,3
6.08,1,42,18,42,32,233,3,2
7.11,1,95,18,86,17,234,2,3
6.28,1,80,18,87,25,235,3,2
6.65,38,25,18,87,25,236,0,3
7.53,8,24,18,26,198,237,0,2
6.98,12,24,18,58,482,238,0,0
5.0,1,11,18,88,409,239,2,2
6.24,13,24,18,12,467,240,0,2
7.43,12,24,18,19,13,241,0,2
6.58,13,25,18,12,405,242,0,2
6.46,12,24,18,7,27,243,0,2
6.73,13,21,18,89,482,244,0,2
6.75,1,51,18,1,0,245,1,0
7.02,6,24,18,80,140,246,3,2
6.49,1,15,18,90,310,247,3,2
6.56,26,24,18,82,93,248,0,2
7.09,12,24,18,10,31,249,0,3
6.47,4,30,18,91,41,250,3,1
7.28,50,25,18,12,26,251,0,2
6.56,13,25,18,34,467,252,0,0
6.76,52,24,18,92,8,253,0,2
7.27,47,27,18,35,399,254,0,2
6.3,1,2,18,93,55,255,2,2
6.22,1,23,18,29,22,256,4,3
6.27,3,30,18,20,18,257,3,1
5.22,13,24,18,34,56,258,0,2
6.81,1,104,18,94,198,259,2,0
6.45,25,25,18,17,112,260,0,2
6.66,24,15,18,29,43,261,0,2
4.18,3,30,18,95,18,262,3,3
7.0,12,23,18,9,18,263,0,2
7.18,4,32,18,67,6,264,3,0
6.48,1,27,18,7,8,265,3,3
7.15,14,24,18,96,90,266,3,2
7.78,26,23,18,6,482,267,0,2
6.2,1,14,18,93,34,268,1,0
7.39,1,90,18,65,18,269,2,1
5.56,2,29,18,18,71,270,3,3
7.68,13,24,18,4,1,271,0,2
7.82,8,30,18,19,26,272,3,1
5.0,1,15,18,97,48,273,1,1
7.06,8,25,18,18,12,274,3,1
6.39,1,80,18,98,482,275,2,1
6.89,26,25,18,99,202,276,0,3
7.76,24,14,18,100,57,277,1,2
6.21,1,55,18,7,93,278,2,1
7.06,1,86,18,62,310,279,2,0
5.65,12,24,18,20,396,280,0,2
7.47,1,95,18,73,90,281,2,2
6.5,12,25,18,80,112,282,0,2
6.85,12,25,18,101,93,283,0,2
6.78,4,27,18,102,396,284,3,2
5.75,1,45,18,20,18,285,3,1
6.92,6,37,18,18,18,286,3,1
6.59,1,56,18,103,58,287,3,2
6.78,12,24,18,104,59,288,0,5
6.76,12,25,18,34,279,289,0,3
7.45,7,27,18,7,202,290,3,3
5.0,1,20,18,93,60,291,2,3
5.51,11,24,18,43,57,292,0,2
7.04,1,25,18,7,41,293,4,3
7.07,1,89,18,105,310,294,2,0
7.07,25,23,18,106,61,295,0,3
7.42,26,24,18,72,194,296,0,3
5.05,3,30,18,107,18,297,3,0
7.59,26,23,18,2,27,298,0,1
6.89,4,36,18,17,270,299,3,2
7.1,12,24,18,11,5,300,0,1
6.11,26,25,18,7,202,301,0,3
6.69,22,27,18,43,43,302,0,2
6.3,22,25,18,31,112,303,0,2
7.25,24,23,18,19,13,304,0,1
5.72,13,24,18,18,18,305,0,0
6.92,49,24,18,78,112,306,0,3
7.31,1,100,18,39,270,307,2,0
7.29,12,18,18,108,62,308,1,1
7.21,2,24,18,109,14,309,3,3
5.0,1,5,18,48,112,310,3,2
6.78,1,74,18,19,24,311,4,0
6.42,12,23,18,29,304,312,0,2
7.97,1,112,18,65,202,313,2,3
5.14,12,25,18,7,27,314,0,3
7.16,26,24,18,110,63,315,0,3
6.45,12,8,18,111,64,316,0,1
6.09,2,38,18,71,18,317,3,2
6.42,2,26,18,48,198,318,3,2
6.12,1,48,18,48,4,319,3,2
6.88,10,22,18,19,27,320,0,2
5.61,10,25,18,112,17,321,1,2
6.3,6,30,18,16,25,322,3,2
8.19,12,24,18,23,482,323,0,2
5.46,2,25,18,6,270,324,3,0
7.13,13,24,18,11,32,325,0,1
7.03,1,4,18,113,20,326,5,3
7.59,26,25,18,82,194,327,0,3
7.08,1,93,18,105,310,328,2,0
4.74,2,37,18,8,87,329,3,2
6.71,6,25,18,7,65,330,3,2
7.48,30,16,18,108,48,331,1,2
5.81,12,13,18,114,4,332,0,2
6.53,1,89,18,115,1,333,2,3
6.66,26,25,18,17,90,334,0,2
6.06,13,24,18,34,164,335,0,2
5.61,1,46,18,19,93,336,3,3
6.6,26,25,18,20,18,337,0,1
7.4,52,24,18,12,482,338,0,2
7.35,13,23,18,11,6,339,0,0
7.27,4,30,18,11,202,340,3,3
6.84,25,24,18,2,270,341,0,0
7.98,12,24,18,108,262,342,1,1
6.4,1,24,18,26,42,343,4,3
5.51,12,24,18,116,66,344,0,5
7.85,1,53,18,90,310,345,2,2
6.26,12,25,18,19,67,346,0,2
6.28,2,50,18,19,25,347,3,2
6.84,146,24,18,12,270,348,0,0
7.13,26,24,18,7,202,349,1,3
8.72,25,24,18,7,202,350,0,3
6.69,12,24,18,26,68,351,0,2
6.59,52,24,18,2,270,352,0,0
