Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,R - 17+ (violence & profanity),Bandai Visual,Sunrise,Original,24 min. per ep.,24,R,Comedy,Bandai Visual,Sunrise
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,R - 17+ (violence & profanity),"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,115,R,Action,Bandai Visual,Bones
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,PG-13 - Teens 13 or older,Victor Entertainment,Madhouse,Manga,24 min. per ep.,24,PG-13,Comedy,Victor Entertainment,Madhouse
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,25,PG-13,Action,TV Tokyo,Sunrise
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,PG - Children,"TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,23,PG-13,Fantasy,TV Tokyo,Toei Animation
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,PG-13 - Teens 13 or older,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,Gallop
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,PG-13 - Teens 13 or older,"Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,23,PG-13,Comedy,Fuji TV,J.C.Staff
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,PG-13 - Teens 13 or older,"OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,27,PG-13,Action,Studio Jack,A.C.G.T.
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,R+ - Mild Nudity,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,24,R+,Drama,VAP,Madhouse
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,23,PG-13,Comedy,Aniplex,Studio Pierrot
