Score,Episodes,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format,cluster
8.78,26,24,0,0,0,206,0,0,0,3
8.39,1,115,0,1,0,0,1,1,0,3
8.24,26,24,1,0,1,182,2,0,1,3
7.27,26,25,1,1,2,206,3,0,0,3
6.98,52,23,1,2,2,299,4,0,1,3
7.95,145,23,1,0,2,126,5,0,1,3
8.06,24,23,1,0,3,1,6,0,1,3
8.15,24,27,1,1,4,2,7,0,1,3
8.76,74,24,2,3,5,182,8,0,1,3
7.91,220,23,1,0,6,3,9,0,1,3
7.9,178,22,1,0,7,259,10,0,1,3
7.94,26,23,1,0,2,122,11,0,1,3
7.42,24,24,0,0,8,4,12,0,1,3
7.76,22,23,2,1,3,182,13,0,0,3
7.95,69,24,1,0,6,206,14,0,1,3
7.51,26,24,1,1,9,5,15,0,1,3
8.32,26,24,1,1,2,171,16,0,0,3
7.45,1,104,0,3,10,15,17,1,0,3
8.51,1,87,2,3,2,15,18,1,0,3
8.49,25,25,2,1,5,6,19,0,1,3
8.29,1,82,2,1,0,15,20,1,1,3
8.73,4,30,0,1,6,5,21,2,1,3
8.31,94,25,1,0,6,5,22,0,1,3
7.56,1,91,0,3,3,126,23,1,1,3
8.17,1,124,2,1,11,55,24,1,1,3
6.98,26,24,1,2,0,146,25,0,0,3
7.32,5,30,1,0,0,62,26,2,1,3
7.35,24,24,1,0,0,62,27,0,1,3
6.31,3,30,2,1,12,72,28,2,1,3
7.26,26,24,1,0,13,0,29,0,1,3
7.14,24,23,1,0,10,1,30,0,1,3
7.1,1,105,0,1,14,7,31,1,1,3
6.53,26,22,0,1,6,146,32,0,26,3
5.91,13,24,0,2,15,8,33,0,0,3
8.31,26,25,0,0,11,182,34,0,1,3
7.05,26,23,2,3,16,62,35,0,0,3
7.43,26,24,1,0,9,182,36,0,1,3
7.66,24,23,0,1,12,4,37,0,1,3
7.2,26,23,1,0,17,8,38,0,1,3
6.77,26,24,1,3,12,9,39,0,2,3
6.62,12,23,2,0,12,10,40,0,1,3
7.44,12,24,1,0,8,11,41,0,1,3
7.65,12,24,1,0,9,11,42,0,1,3
7.98,26,24,1,0,12,1,43,0,3,3
7.58,24,24,0,1,11,4,44,0,1,3
7.38,23,24,1,0,18,4,45,0,1,3
6.35,25,24,1,1,0,206,46,0,0,3
7.65,24,24,0,0,17,4,47,0,4,3
8.07,12,24,1,0,3,78,48,0,4,3
7.96,13,24,0,1,17,78,49,0,4,3
7.65,26,25,3,0,6,50,50,0,1,3
7.3,25,24,1,1,13,8,51,0,0,3
7.42,13,25,1,0,19,12,52,0,0,3
7.99,13,25,1,0,19,12,53,0,0,3
7.09,24,23,2,0,12,13,54,0,2,3
7.78,43,25,1,1,20,206,55,0,0,3
8.03,12,25,1,3,21,206,56,2,0,3
7.9,6,27,1,3,0,206,57,2,0,3
6.79,1,52,1,3,20,206,58,1,0,3
7.3,13,30,1,3,0,206,59,2,0,3
7.92,50,24,1,3,20,206,60,0,0,3
6.66,47,24,1,0,20,206,61,0,0,3
7.68,1,119,1,3,20,206,62,1,5,3
6.76,51,24,1,3,20,206,63,0,0,3
7.72,49,24,1,1,22,206,64,0,0,3
7.76,3,30,1,1,0,206,65,2,0,3
7.32,39,24,1,3,20,206,66,0,0,3
7.79,50,24,0,1,20,206,67,0,0,3
7.22,50,24,0,1,20,206,68,0,0,3
7.7,50,24,1,1,20,206,69,0,0,3
7.56,49,24,1,0,20,206,70,0,0,3
7.82,26,24,1,1,13,4,71,0,0,3
7.46,26,23,1,0,0,206,72,0,0,3
7.31,26,24,1,0,12,206,73,0,0,3
7.2,13,23,1,0,17,72,74,0,1,3
7.32,12,24,1,3,10,78,75,0,2,3
7.48,26,25,1,0,23,102,76,0,1,3
7.39,74,24,3,0,24,126,77,0,1,3
7.23,24,21,0,0,0,3,78,0,1,3
7.23,13,24,1,0,6,5,79,0,1,3
7.29,3,30,1,0,6,5,80,2,1,3
6.81,24,23,1,0,22,4,81,0,0,3
6.83,52,25,1,0,25,14,82,0,0,3
4.95,8,14,1,0,26,15,83,0,0,3
7.38,26,23,1,1,19,8,84,0,0,3
7.93,26,12,1,0,13,15,85,0,1,3
6.83,13,25,1,0,27,62,86,0,0,3
6.97,26,23,1,0,2,62,87,0,0,3
7.32,7,34,1,0,27,62,88,2,0,3
6.85,4,30,1,0,27,62,89,2,0,3
6.56,13,14,1,0,28,380,90,0,2,3
7.69,26,24,1,0,2,5,91,0,1,3
8.17,51,24,1,0,6,0,92,0,1,3
7.96,52,24,1,0,7,5,93,0,1,3
7.64,52,23,1,0,2,3,94,0,1,3
6.49,13,24,1,0,12,373,95,0,0,3
6.91,13,24,1,0,12,9,96,0,0,3
6.96,24,25,1,0,29,4,97,0,26,3
7.59,50,23,0,0,2,3,98,0,1,3
7.61,49,24,1,0,11,5,99,0,1,3
6.21,12,24,2,0,8,16,100,0,2,3
7.42,13,24,0,1,3,182,101,0,1,3
8.11,75,23,1,0,2,3,102,0,1,3
8.42,62,23,1,1,3,14,103,0,1,3
6.14,12,23,0,4,22,9,104,0,1,3
6.87,12,24,1,3,11,17,105,0,1,3
7.11,13,24,3,3,10,299,106,0,2,3
7.61,26,24,1,0,2,1,107,0,1,3
6.76,12,24,2,0,10,18,108,0,0,3
7.24,14,23,2,3,12,89,109,0,2,3
6.86,12,24,1,1,0,1,110,0,1,3
7.66,50,24,0,1,6,15,111,0,0,3
7.12,3,46,2,0,23,299,112,2,1,3
7.28,24,23,0,1,22,4,113,0,0,3
8.06,45,25,1,1,30,3,114,0,5,3
7.78,64,23,1,0,2,8,115,0,1,3
6.59,1,97,0,1,10,182,116,1,1,3
7.43,24,24,2,1,0,182,117,0,1,3
6.98,26,23,1,0,19,8,118,0,1,3
7.34,13,24,1,3,13,5,119,0,4,3
6.34,24,23,1,2,9,1,120,0,1,3
7.66,13,25,0,2,31,62,121,0,0,3
7.33,24,24,0,0,22,4,122,0,1,3
6.94,26,24,3,0,32,182,123,0,1,3
6.48,26,20,1,0,33,3,124,0,26,3
8.72,1,135,1,1,34,123,125,1,0,3
7.42,26,23,1,1,3,0,126,0,0,3
7.48,26,26,1,4,35,4,127,0,6,3
7.41,24,23,1,0,17,0,128,0,4,3
7.38,26,24,1,1,36,206,129,0,0,3
6.91,12,24,0,1,10,1,130,0,2,3
8.53,101,23,1,0,22,299,131,0,1,3
7.23,25,24,1,0,37,5,132,0,1,3
6.93,24,23,0,0,22,182,133,0,1,3
6.63,26,25,1,1,13,3,134,0,1,3
6.19,4,28,1,5,38,12,135,2,2,3
7.55,26,25,1,1,11,146,136,0,1,3
7.18,26,24,3,0,4,19,137,0,1,3
7.21,13,22,1,1,18,4,138,0,0,3
7.42,13,22,1,1,18,4,139,0,0,3
7.7,26,24,1,2,2,206,140,0,0,3
7.39,39,24,3,6,39,122,141,0,1,3
6.37,12,23,1,1,40,299,142,0,26,3
8.29,26,25,1,1,3,126,143,0,1,3
8.12,13,23,1,1,3,20,144,0,1,3
7.89,1,105,1,1,41,5,145,1,1,3
7.14,24,23,1,0,2,8,146,0,1,3
7.25,3,30,1,0,19,8,147,2,1,3
7.34,1,46,1,0,36,8,148,3,1,3
6.8,24,24,2,0,42,1,149,0,4,3
7.55,5,30,2,4,0,21,150,2,0,3
7.17,12,23,1,0,0,10,151,0,0,3
6.88,12,25,1,0,12,10,152,0,0,3
6.55,24,15,2,0,26,182,153,0,1,3
7.35,24,23,2,1,22,4,154,0,0,3
8.83,1,125,1,3,43,123,155,1,0,3
7.21,6,29,2,0,24,15,156,2,1,3
7.82,26,23,1,1,0,0,157,0,0,3
6.75,5,30,2,2,44,22,158,2,2,3
8.5,26,24,0,0,3,23,159,0,0,3
7.16,27,24,1,1,17,62,160,0,5,3
7.4,13,25,0,1,9,182,161,2,5,3
7.67,3,33,1,1,6,5,162,2,4,3
7.55,26,25,1,0,6,1,163,0,4,3
7.76,161,24,2,0,3,5,164,0,1,3
6.86,1,84,1,0,45,24,165,1,0,3
5.94,1,48,1,0,46,0,166,1,2,3
7.52,26,23,1,0,19,8,167,0,0,3
6.77,1,79,0,0,2,8,168,1,0,3
6.65,2,30,2,0,44,22,169,2,0,3
6.68,13,25,2,0,47,22,170,0,0,3
8.0,153,24,1,0,3,299,171,0,1,3
6.48,64,23,1,0,3,299,172,0,1,3
7.56,13,25,2,1,48,22,173,0,1,3
8.03,6,25,1,0,19,15,174,2,0,3
7.65,26,25,0,7,6,5,175,0,0,3
6.92,12,24,0,0,40,25,176,0,1,3
7.02,27,24,0,0,5,299,177,0,1,3
6.18,26,12,1,0,19,26,178,0,1,3
8.16,70,25,1,0,11,182,179,0,1,3
6.69,26,24,3,5,2,190,180,0,1,3
6.64,26,23,1,0,20,3,181,0,1,3
8.09,50,24,1,3,6,0,182,0,0,3
7.36,42,23,1,1,3,3,183,0,1,3
8.17,24,24,0,3,29,4,184,0,5,3
7.66,12,25,1,0,12,27,185,0,1,3
6.45,11,23,2,0,12,28,186,0,1,3
7.42,13,23,0,0,5,182,187,0,1,3
7.02,13,22,1,0,6,5,188,0,1,3
8.7,43,25,0,0,6,3,189,0,1,3
7.27,51,24,1,0,11,5,190,0,1,3
6.68,12,23,1,0,24,182,191,0,1,3
7.85,167,24,1,0,49,206,192,0,1,3
7.55,150,23,1,0,3,299,193,0,1,3
7.7,78,25,1,0,25,5,194,0,4,3
7.07,26,24,1,3,1,146,195,0,0,3
7.84,26,23,1,0,0,29,196,0,1,3
7.83,6,26,1,0,0,29,197,2,1,3
7.65,7,26,1,0,0,29,198,2,1,3
6.45,13,24,2,8,48,1,199,0,1,3
6.23,4,30,0,3,50,182,200,2,1,3
6.67,13,23,1,0,51,30,201,0,1,3
