anime_id,name,genre,type,episodes,rating,mean_rating
5291,1386,1386,9868,1,7.55,6.173913043478261
17813,5157,5157,9813,1,6.51,4.561855670103093
1776,6931,6931,9868,1,5.74,4.25
4103,6771,7039,9885,1,5.85,4.3478260869565215
30766,7039,7039,9840,1,5.65,1.5
20355,6156,7039,9840,2,6.19,3.8222222222222224
7691,5843,7135,9885,1,6.3,4.444444444444445
4827,7135,7135,9813,2,5.57,3.311111111111111
6841,7584,7711,9868,1,5.05,2.3333333333333335
5661,7711,7711,9868,1,4.72,2.375
6844,7777,7777,9868,1,4.39,2.4166666666666665
4397,7736,7777,9868,1,4.62,2.7058823529411766
3801,7798,7798,9813,1,4.24,3.3333333333333335
16247,6807,8000,9885,1,5.83,3.6666666666666665
3320,7211,8000,9885,1,5.49,3.4347826086956523
31244,7386,8000,9813,1,5.3,2.5
2937,2529,8000,9813,1,7.22,4.258741258741258
5554,8000,8000,9885,1,5.32,0.5
9944,6081,8000,9885,9,6.21,3.5
2073,4895,8000,9885,6,6.58,4.857142857142857
21771,6806,8000,9813,3,5.83,4.316715542521994
15127,6791,8000,9885,1,5.84,4.147058823529412
21773,6745,8000,9813,3,5.87,4.552742616033755
30705,7638,8000,8780,12,4.93,3.572340425531915
20919,7235,8000,9813,1,5.47,3.5634057971014492
1223,6581,8000,9840,1,5.97,4.7637795275590555
12919,7558,8151,9868,1,5.07,3.0
23283,243,8151,8780,11,8.26,7.01593308105955
29904,7390,8151,9868,1,5.3,3.5
20889,3378,8151,9868,1,6.99,5.917721518987341
28991,6428,8151,9868,1,6.06,6.2
4460,6339,8151,9840,1,6.1,4.765486725663717
29671,8151,8151,9868,1,4.74,4.0
29908,7723,8151,9868,1,4.69,3.0
24037,1481,8151,8780,12,7.52,6.0197316495659035
28641,7664,8151,9868,1,4.84,2.2857142857142856
22273,1882,8151,8780,12,7.41,5.976569407603891
28993,7542,8151,9868,1,5.11,2.5
8689,7835,8151,9840,1,3.73,3.1538461538461537
31280,2268,8151,9868,1,7.3,6.101123595505618
23053,7457,8151,9868,1,5.22,1.5
5622,7565,8151,9885,1,5.08,3.9
28831,7647,8151,9813,1,4.91,3.5
29906,7660,8151,9868,1,4.89,3.0
28657,7820,8151,9868,1,3.9,1.5
2018,5405,8342,9885,1,6.44,4.987804878048781
2204,1532,8342,8780,26,7.5,6.02
9882,8129,8342,8780,41,7.14,3.5
1984,5858,8342,9868,1,6.29,4.074468085106383
10755,5548,8342,9813,1,6.39,4.5
994,7460,8342,9885,1,5.22,3.8157894736842106
4941,5373,8342,9813,1,6.45,3.3333333333333335
6954,2298,8342,9813,1,7.29,5.738172043010753
6172,1065,8342,9868,1,7.69,6.244367417677643
32946,3946,8342,9840,1,6.81,6.0
11799,7035,8342,9885,1,5.66,5.85
12433,5754,8342,9840,1,6.33,4.392523364485982
10568,1039,8342,8780,12,7.7,6.448574100046751
28619,4265,8342,8780,11,6.75,5.419220055710307
3743,6971,8342,9868,1,5.71,4.642857142857143
25267,8342,8342,9813,1,4.94,3.0
5088,5224,8342,8780,26,6.49,1.5555555555555556
30187,1569,8342,8780,12,7.49,6.103246167718665
15037,2883,8342,9885,4,7.12,5.763775971093044
11701,1518,8342,9885,1,7.5,5.713091922005571
9846,6008,8342,9840,1,6.24,4.841269841269841
16700,2034,8342,9885,1,7.36,5.475833333333333
33145,4750,8342,9885,1,6.62,3.4
10491,4896,8342,9885,4,6.58,5.049329758713137
30404,7510,8683,9868,1,5.15,3.0
30340,7746,8683,9868,1,4.56,1.0
29711,7976,8683,9868,1,4.25,3.0
22419,1276,8683,9868,1,7.59,3.864406779661017
29988,7732,8683,9868,1,4.63,2.5
30814,7743,8683,9868,1,4.58,1.0
29972,8077,8683,9840,1,3.02,4.0
30401,7602,8683,9868,1,5.02,3.0
28639,7328,8683,9868,1,5.37,3.5714285714285716
29665,8045,8683,9868,1,4.13,3.5
30339,7724,8683,9868,1,4.69,2.0
30328,7734,8683,9868,1,4.62,1.0
31263,8063,8683,9868,1,4.32,5.0
28645,7733,8683,9868,1,4.63,2.5
30336,7338,8683,9868,1,5.37,2.0
29768,7614,8683,9868,1,4.99,2.0
29645,8175,8683,9868,1,3.77,1.3333333333333333
30667,7721,8683,9868,1,4.7,2.0
22163,7656,8683,9868,1,4.9,0.5
30666,7651,8683,9868,1,4.91,1.0
33449,7021,8683,9868,1,5.67,5.0
30326,7667,8683,9868,1,4.87,1.0
30864,8395,8683,9868,1,3.92,6.5
30334,7437,8683,9868,1,5.25,3.0
29907,7678,8683,9868,1,4.83,3.0
31257,7480,8683,9868,1,5.14,2.0
30480,7681,8683,9868,1,4.81,1.0
22841,7098,8683,9813,1,5.6,4.333333333333333
28989,8315,8683,9868,1,6.18,5.0
30418,7687,8683,9868,1,4.8,2.0
29293,7692,8683,9868,1,4.79,3.0
29647,8550,8683,9868,1,3.35,3.6666666666666665
31309,7277,8683,9840,1,5.42,5.333333333333333
31587,8263,8683,9868,1,3.79,2.0
7809,7545,8683,9868,3,5.1,3.9310344827586206
29989,7643,8683,9868,1,4.92,1.0
29657,8604,8683,9868,1,4.13,2.5
29661,8223,8683,9868,1,4.49,4.0
7856,8198,8683,9868,1,6.76,2.0
9318,7707,8683,9868,1,4.73,2.0714285714285716
28761,7462,8683,9868,1,5.21,3.953488372093023
29669,8639,8683,9868,1,4.44,4.0
30664,7712,8683,9868,1,4.71,1.0
29681,7634,8683,9868,1,4.94,3.5
7844,8660,8683,9868,1,6.15,3.3333333333333335
30331,7716,8683,9868,1,4.71,2.0
29667,8677,8683,9868,1,4.11,3.5
29649,8683,8683,9868,1,4.4,3.5
30407,8256,8683,9868,1,4.53,3.0
9801,7747,8683,9813,1,4.56,3.769230769230769
29980,7784,8683,9868,1,4.32,2.875
7811,7763,8683,9868,1,4.46,2.9047619047619047
29932,7438,8683,9868,1,5.25,3.0
22169,7853,8683,9868,1,3.32,1.0
22179,7855,8683,9868,1,3.27,1.2222222222222223
6953,7858,8683,9868,1,2.78,2.2962962962962963
29633,7411,8683,9868,1,5.27,3.0
29949,7860,8683,9868,1,2.67,2.8
30330,7405,8683,9868,1,5.28,2.0
29173,7403,8683,9840,1,5.28,2.5
8928,6073,8683,9868,9,6.22,2.8
25971,7887,8683,9813,1,5.59,2.6
30669,7762,8683,9868,1,4.46,1.0
30327,7382,8683,9868,1,5.31,3.0
28085,5376,8683,9868,1,6.45,3.1666666666666665
7810,7581,8683,9868,1,5.06,3.1
29766,7526,8683,9868,1,5.11,4.5
29944,7562,8683,9868,1,5.08,4.0
30396,7754,8683,9868,1,4.52,2.0
22161,7846,8683,9868,1,3.59,1.5
29995,7832,8683,9840,1,3.76,3.272727272727273
30668,7787,8683,9868,1,4.3,2.5
30329,7779,8683,9868,1,4.38,1.0
23877,7801,8683,9868,1,4.21,2.8823529411764706
29973,7778,8683,9840,1,4.38,2.6
29954,7803,8683,9840,1,4.17,4.333333333333333
22157,7804,8683,9868,1,4.17,0.4
29905,7552,8683,9868,1,5.1,3.0
30665,7806,8683,9868,1,4.15,1.0
30859,7807,8683,9868,1,4.15,2.25
31689,7809,8683,9840,1,4.11,2.25
7843,7419,8683,9868,1,5.26,3.7142857142857144
28637,7816,8683,9868,1,3.98,2.25
22173,7823,8683,9868,1,3.88,0.5
30559,7775,8683,9868,1,4.4,1.0
29984,7830,8683,9868,1,3.8,1.5
31586,7845,8683,9868,1,3.58,1.1
31759,7588,8683,9868,1,5.04,3.0
30335,7618,8683,9868,1,4.98,2.5
25969,7969,8683,9813,1,4.04,2.6666666666666665
30400,7593,8683,9868,1,5.04,3.0
29971,7748,8683,9840,1,4.56,3.5
32376,3190,8690,9813,1,7.04,4.0
5675,1962,8690,8780,26,7.38,5.873684210526315
5082,3865,8690,8780,50,6.84,4.2
3791,1772,8690,9813,1,7.43,5.3063241106719365
22205,7096,8690,9840,1,5.6,3.3333333333333335
28171,60,8690,8780,24,8.61,7.119023779724656
3012,3795,8690,8780,68,6.86,4.9655172413793105
14189,1364,8690,9813,1,7.56,5.727224576271187
18061,5101,8690,9868,1,6.53,3.0
15819,3191,8690,9885,2,7.04,5.5
13073,2084,8690,9813,2,7.35,4.15
1479,1249,8690,9813,1,7.6,5.972727272727273
31227,1534,8690,8780,22,7.5,5.451219512195122
14367,6201,8690,9813,13,6.18,2.2857142857142856
10869,6149,8690,8780,52,6.19,4.0
25303,609,8690,9885,2,7.93,5.575721153846154
24135,852,8690,8780,10,7.79,6.67603305785124
1539,2585,8690,9813,1,7.21,4.678571428571429
28069,823,8690,9885,1,7.81,5.976851851851852
32870,1208,8690,9868,1,7.61,6.166666666666667
14059,3956,8690,9885,1,6.82,3.066666666666667
3369,1214,8690,8780,20,7.62,6.148148148148148
645,410,8690,9813,1,8.09,6.388440860215054
1317,4035,8690,9868,1,6.8,4.864864864864865
33740,2965,8690,9813,1,7.1,5.020833333333333
406,4316,8690,8780,13,6.73,4.843971631205674
19825,3810,8690,8780,49,6.86,3.272727272727273
26159,8566,8690,9840,1,6.06,3.0
2112,878,8690,8780,26,7.78,6.536895674300254
12585,3906,8690,9813,1,6.83,4.465116279069767
5231,991,8690,8780,127,7.72,5.908490566037736
4298,5608,8690,9885,6,6.37,6.111111111111111
27663,294,8690,8780,25,8.2,6.696363636363636
3245,2072,8690,9813,2,7.35,6.366666666666666
6055,3547,8690,8780,31,6.93,4.0
2077,2665,8690,9868,1,7.18,5.325
10775,2765,8690,9813,1,7.16,4.694117647058824
21701,4129,8690,9813,1,6.78,3.727272727272727
17615,8286,8690,9885,2,5.38,2.5
9154,3346,8690,9868,1,7.0,5.222222222222222
18097,2890,8690,8780,43,7.11,4.910526315789474
642,3274,8690,9813,1,7.02,5.2425249169435215
7048,4891,8690,8780,50,6.58,4.888888888888889
33522,6136,8690,9840,6,6.2,4.291666666666667
22817,1831,8690,8780,25,7.42,5.988165680473373
32282,101,8690,8780,13,8.5,6.885131358300726
9032,1556,8690,9868,1,7.49,5.55511811023622
23405,3646,8690,9840,3,6.91,3.793103448275862
10504,2927,8690,9813,1,7.11,4.452145214521452
287,1860,8690,8780,24,7.41,5.843373493975903
24347,3430,8690,9868,1,6.97,4.82
